epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.303048,0.080654,0.099645,0.080654,192.15
2,0.222362,0.126935,0.077688,0.126935,151.13
3,0.165844,0.425239,0.453976,0.425239,85.19
4,0.131139,0.571037,0.549574,0.571037,56.97
5,0.114169,0.622478,0.590386,0.622478,49.61
6,0.103329,0.638647,0.597604,0.638647,46.93
7,0.094590,0.705739,0.668722,0.705739,47.01
8,0.085974,0.540858,0.556050,0.705739,46.47
9,0.077878,0.700784,0.664638,0.705739,46.06
10,0.069864,0.716274,0.669665,0.716274,44.73
11,0.062515,0.726744,0.693856,0.726744,44.49
12,0.055078,0.721933,0.673183,0.726744,44.80
13,0.048518,0.771549,0.712229,0.771549,43.77
14,0.042445,0.758736,0.698676,0.771549,44.16
15,0.036398,0.757795,0.727702,0.771549,44.25
16,0.031514,0.768783,0.703965,0.771549,44.12
17,0.026802,0.781423,0.705656,0.781423,44.29
18,0.022864,0.793382,0.725199,0.793382,44.63
19,0.020101,0.782657,0.716683,0.793382,44.44
20,0.017264,0.836067,0.752884,0.836067,44.27
21,0.014990,0.827293,0.744118,0.836067,44.67
22,0.013425,0.784112,0.698364,0.836067,44.26
23,0.012254,0.830292,0.768367,0.836067,44.18
24,0.010940,0.820227,0.730733,0.836067,43.50
25,0.010453,0.821524,0.738616,0.836067,43.81
26,0.009229,0.879488,0.789604,0.879488,43.62
27,0.009016,0.813361,0.737145,0.879488,44.38
28,0.008509,0.850219,0.747978,0.879488,44.40
29,0.007969,0.864323,0.769279,0.879488,44.62
30,0.008011,0.854214,0.767909,0.879488,44.22
31,0.007299,0.843670,0.741620,0.879488,44.40
32,0.007384,0.874560,0.776368,0.879488,44.14
33,0.007384,0.872095,0.778720,0.879488,43.81
34,0.007115,0.887716,0.793561,0.887716,43.54
35,0.006693,0.872414,0.751569,0.887716,43.89
36,0.006813,0.895384,0.782864,0.895384,44.32
37,0.006381,0.891136,0.769621,0.895384,43.67
38,0.006620,0.866651,0.765766,0.895384,44.13
39,0.006615,0.888526,0.780093,0.895384,44.06
40,0.006267,0.881044,0.767242,0.895384,44.25
41,0.006051,0.871812,0.773220,0.895384,44.73
42,0.006328,0.861339,0.762533,0.895384,44.37
43,0.006142,0.888855,0.776958,0.895384,44.78
44,0.006154,0.908024,0.796657,0.908024,44.51
45,0.005853,0.879162,0.769296,0.908024,43.19
46,0.005486,0.892696,0.780574,0.908024,43.82
47,0.005945,0.872839,0.748317,0.908024,44.42
48,0.005494,0.880166,0.776695,0.908024,43.39
49,0.005236,0.892009,0.770396,0.908024,43.48
50,0.005521,0.884475,0.781069,0.908024,43.91
51,0.005287,0.907345,0.795647,0.908024,44.45
52,0.005279,0.888674,0.775093,0.908024,44.46
53,0.005218,0.910922,0.814315,0.910922,43.78
54,0.005230,0.894567,0.797704,0.910922,44.27
55,0.005517,0.896137,0.780146,0.910922,44.45
56,0.005233,0.898314,0.788694,0.910922,44.09
57,0.004857,0.898156,0.804383,0.910922,43.82
58,0.004889,0.906522,0.796688,0.910922,44.60
59,0.004813,0.903053,0.788686,0.910922,44.08
60,0.005181,0.882082,0.781628,0.910922,44.57
61,0.004779,0.902265,0.787526,0.910922,44.57
62,0.005166,0.918748,0.813785,0.918748,43.45
63,0.004548,0.921950,0.806688,0.921950,43.77
64,0.004554,0.906249,0.808376,0.921950,43.99
65,0.004616,0.880831,0.782198,0.921950,44.32
66,0.004477,0.885781,0.793228,0.921950,44.02
67,0.004543,0.900510,0.789999,0.921950,43.73
68,0.004401,0.915784,0.817337,0.921950,43.74
69,0.004444,0.919790,0.821601,0.921950,44.13
70,0.004477,0.921205,0.816300,0.921950,43.74
71,0.004394,0.905959,0.800771,0.921950,44.41
72,0.004203,0.920100,0.810957,0.921950,44.47
73,0.004294,0.911622,0.789455,0.921950,43.74
74,0.004337,0.920105,0.818884,0.921950,43.90
75,0.004186,0.913819,0.808761,0.921950,44.04
76,0.004191,0.918940,0.813501,0.921950,43.88
77,0.004232,0.922106,0.814067,0.922106,43.97
78,0.003987,0.919488,0.810672,0.922106,44.51
79,0.004123,0.923243,0.811238,0.923243,44.27
80,0.004122,0.919825,0.812674,0.923243,44.24
81,0.003956,0.908281,0.807126,0.923243,44.57
82,0.004107,0.917264,0.808653,0.923243,43.54
83,0.003936,0.917392,0.816144,0.923243,44.19
84,0.003956,0.916434,0.811178,0.923243,43.77
85,0.003857,0.912360,0.809082,0.923243,44.17
86,0.004077,0.917865,0.809627,0.923243,44.31
87,0.003975,0.919091,0.814493,0.923243,43.96
88,0.003844,0.916465,0.812613,0.923243,44.10
89,0.003842,0.911684,0.808052,0.923243,44.52
90,0.003805,0.920028,0.812157,0.923243,44.17
91,0.003829,0.919496,0.814073,0.923243,44.04
92,0.003806,0.915681,0.811768,0.923243,43.90
93,0.003905,0.914621,0.811792,0.923243,44.13
94,0.003625,0.915803,0.812774,0.923243,44.40
95,0.003594,0.919300,0.816457,0.923243,43.41
96,0.003756,0.918620,0.814695,0.923243,44.13
97,0.003874,0.913896,0.811577,0.923243,45.31
98,0.003778,0.916069,0.812792,0.923243,44.18
99,0.003725,0.916457,0.813316,0.923243,43.47
100,0.003853,0.913908,0.811263,0.923243,44.40
